Movie,LeadStudio,Genre,RottenTomatoes,AudienceScore,WorldGross,Budget,Year,Ganancia,Exitosa
Avatar,Fox,Action,83.0,92.0,2781.5,237.0,2009,2544.5,True
Marvel's The Avengers,Buena Vista,Other Genres,92.0,91.0,1518.59,220.0,2012,1298.59,True
Harry Potter and the Deathly Hallows Part 2,Warner Bros,Fantasy,96.0,92.0,1341.51,125.0,2011,1216.51,True
Iron Man 3,Buena Vista,Action,78.0,80.0,1215.44,200.0,2013,1015.44,True
Transformers: Dark of the Moon,DreamWorks,Action,35.0,67.0,1123.79,195.0,2011,928.79,False
Skyfall,Sony,Other Genres,92.0,86.0,1108.56,200.0,2012,908.56,True
Despicable Me 2,Universal,Other Genres,74.0,85.0,964.76,76.0,2013,888.76,True
Toy Story 3,Disney,Animation,99.0,91.0,1063.16,200.0,2010,863.1600000000001,True
The Dark Knight Rises,Warner Bros,Other Genres,88.0,90.0,1084.44,250.0,2012,834.44,True
Harry Potter and the Deathly Hallows Part 1,Warner Bros,Adventure,79.0,87.0,959.3,125.0,2010,834.3,True
Alice in Wonderland,Disney,Adventure,52.0,72.0,1025.466,200.0,2010,825.4659999999999,False
The Dark Knight,Warner Bros,Thriller,94.0,96.0,1004.56,185.0,2008,819.56,True
The Hobbit: An Unexpected Journey,Warner Bros,Other Genres,65.0,83.0,1017.0,200.0,2012,817.0,True
Ice Age: Dawn of the Dinosaurs,Fox,Animation,45.0,72.0,886.68,90.0,2009,796.68,False
Pirates of the Caribbean:On Stranger Tides,Disney,Action,34.0,61.0,1045.71,250.0,2011,795.71,False
Harry Potter and the Order of the Phoenix,Warner Bros,Adventure,78.0,82.0,939.89,150.0,2007,789.89,True
Ice Age: Continental Drift,Fox,Other Genres,37.0,63.0,877.24,95.0,2012,782.24,False
THG: Catching Fire,Lionsgate,Action,90.0,92.0,855.9,130.0,2013,725.9,True
The Twilight Saga: Breaking Dawn Part 2,Summit,Other Genres,48.0,71.0,829.69,120.0,2012,709.69,False
Harry Potter and the Half-Blood Prince,Warner Bros,Adventure,83.0,75.0,934.0,250.0,2009,684.0,True
Inception,Warner Bros,Action,86.0,93.0,825.536,160.0,2010,665.536,True
Pirates of the Caribbean: At World's End,Disney,Action,45.0,74.0,963.42,300.0,2007,663.42,False
Frozen,Buena Vista,Other Genres,89.0,89.0,810.4,150.0,2013,660.4,True
The Twilight Saga: New Moon,Summit,Drama,27.0,78.0,709.82,50.0,2009,659.82,False
Shrek the Third,Paramount,Animation,42.0,57.0,798.96,160.0,2007,638.96,False
Spider-Man 3,Sony,Action,61.0,54.0,890.87,258.0,2007,632.87,True
The Twilight Saga: Eclipse,Summit,Drama,50.0,74.0,698.489,68.0,2010,630.489,False
Fast & Furious 6,Universal,Action,69.0,84.0,788.68,160.0,2013,628.68,True
Transformers: Revenge of the Fallen,Paramount,Action,20.0,76.0,836.3,210.0,2009,626.3,False
The Desolation of Smaug,Warner Bros,Other Genres,75.0,85.0,847.33,225.0,2013,622.33,True
The Hunger Games,Lionsgate,Other Genres,84.0,81.0,691.25,78.0,2012,613.25,True
Twilight: Breaking Dawn,Independent,Romance,26.0,68.0,712.17,110.0,2011,602.17,False
Madagascar 3: Europe's Most Wanted,DreamWorks,Animation,79.0,73.0,746.92,145.0,2012,601.92,True
Indiana Jones and the Kingdom of the Crystal Skull,Paramount,Action,77.0,59.0,786.64,185.0,2008,601.64,True
Gravity,Warner Bros,Other Genres,97.0,85.0,688.51,100.0,2013,588.51,True
Shrek Forever After,Paramount,Animation,57.0,64.0,752.604,165.0,2010,587.604,False
2012,Sony,Action,39.0,63.0,769.69,200.0,2009,569.69,False
Transformers,Paramount,Action,57.0,89.0,709.71,150.0,2007,559.71,False
Up,Disney,Animation,98.0,86.0,731.3,175.0,2009,556.3,True
Mission Impossible 4,Paramount,Action,93.0,86.0,694.71,145.0,2011,549.71,True
Mamma Mia!,Universal,Comedy,53.0,76.0,609.84,66.0,2008,543.84,False
Monsters University,Buena Vista,Other Genres,78.0,83.0,743.56,200.0,2013,543.56,True
The Amazing Spider-Man,Sony,Other Genres,73.0,77.0,752.22,230.0,2012,522.22,True
Kung Fu Panda 2,DreamWorks,Animation,82.0,80.0,665.69,150.0,2011,515.69,True
The Hangover Part II,Legendary Pictures,Comedy,35.0,58.0,586.76,80.0,2011,506.76,False
Fast Five,Universal,Action,78.0,83.0,626.13,125.0,2011,501.13,True
Ted,Universal,Other Genres,68.0,74.0,549.37,50.0,2012,499.37,True
Life of Pi,Fox,Other Genres,87.0,85.0,609.02,120.0,2012,489.02,True
Hancock,Sony,Action,40.0,67.0,624.39,150.0,2008,474.39,False
Despicable Me,Universal,Animation,81.0,81.0,543.113,69.0,2010,474.11300000000006,True
Ratatouille,Disney,Animation,97.0,84.0,623.72,150.0,2007,473.72,True
Thor: The Dark World,Buena Vista,Other Genres,65.0,83.0,632.91,170.0,2013,462.90999999999997,True
Madagascar: Escape 2 Africa,Paramount,Animation,64.0,73.0,603.9,150.0,2008,453.9,True
The Smurfs,Sony,Animation,23.0,50.0,563.75,110.0,2011,453.75,False
The Croods,Fox,Other Genres,70.0,79.0,587.2,135.0,2013,452.20000000000005,True
The Simpsons Movie,Fox,Comedy,90.0,78.0,527.07,75.0,2007,452.07000000000005,True
Man of Steel,Warner Bros,Action,55.0,76.0,668.05,225.0,2013,443.04999999999995,False
I Am Legend,Warner Bros,Thriller,69.0,69.0,585.35,150.0,2007,435.35,True
Sherlock Holmes,Warner Bros,Action,70.0,81.0,524.02,90.0,2009,434.02,True
The Hangover,Warner Bros,Comedy,79.0,87.0,467.46,35.0,2009,432.46,True
Kung Fu Panda,Paramount,Animation,88.0,83.0,631.74,200.0,2008,431.74,True
Puss In Boots,DreamWorks,Animation,83.0,76.0,554.99,130.0,2011,424.99,True
Iron Man 2,Paramount,Action,74.0,80.0,623.93,200.0,2010,423.92999999999995,True
Sherlock Holmes 2,Warner Bros,Action,60.0,79.0,545.45,125.0,2011,420.45000000000005,True
Iron Man,Paramount,Action,94.0,91.0,585.52,186.0,2008,399.52,True
The King's Speech,Independent,Biography,95.0,93.0,414.204,15.0,2010,399.204,True
MIB 3,Sony,Other Genres,70.0,71.0,624.03,225.0,2012,399.03,True
Rio,Fox,Animation,71.0,73.0,484.63,90.0,2011,394.63,True
300,Warner Bros,Action,60.0,90.0,456.07,65.0,2007,391.07,True
Rise of the Planet of the Apes,Fox,Action,83.0,87.0,481.74,93.0,2011,388.74,True
Les Miserables (2012),Universal,Other Genres,70.0,79.0,441.81,61.0,2012,380.81,True
Clash of the Titans,Warner Bros,Action,28.0,48.0,493.214,125.0,2010,368.214,False
Alvin and the Chipmunks: The Squeakquel,Independent,Animation,21.0,59.0,440.7,75.0,2009,365.7,False
Slumdog Millionaire,Independent,Crime,94.0,90.0,377.91,15.0,2008,362.91,True
Cars 2,Pixar,Animation,38.0,56.0,559.85,200.0,2011,359.85,False
Sex and the City,Warner Bros,Comedy,49.0,81.0,415.25,57.5,2008,357.75,False
Quantum of Solace,MGM,Action,64.0,62.0,586.09,230.0,2008,356.09000000000003,True
Twilight,Summit,Romance,49.0,82.0,392.62,37.0,2008,355.62,False
Brave,Buena Vista,Other Genres,78.0,76.0,538.98,185.0,2012,353.98,True
World War Z,Paramount,Other Genres,67.0,73.0,540.01,190.0,2013,350.01,True
WALL-E,Disney,Animation,96.0,89.0,521.31,180.0,2008,341.30999999999995,True
Angels & Demons,Sony,Mystery,36.0,65.0,485.9,150.0,2009,335.9,False
The Bourne Ultimatum,Universal,Thriller,93.0,91.0,442.82,110.0,2007,332.82,True
Tangled,Disney,Animation,89.0,88.0,591.794,260.0,2010,331.794,True
Taken 2,Fox,Other Genres,21.0,54.0,376.14,45.0,2012,331.14,False
How to Train Your Dragon,Paramount,Animation,98.0,90.0,494.88,165.0,2010,329.88,True
National Treasure: Book of Secrets,Disney,Thriller,31.0,72.0,457.36,130.0,2007,327.36,False
Django Unchained,Weinstein,Other Genres,88.0,92.0,425.37,100.0,2012,325.37,True
The Karate Kid,Sony,Action,66.0,75.0,359.12,40.0,2010,319.12,True
Black Swan,Fox,Drama,88.0,86.0,329.397,13.0,2010,316.397,True
Wreck-It Ralph,Buena Vista,Other Genres,86.0,87.0,471.22,165.0,2012,306.22,True
Thor,Disney,Action,77.0,80.0,449.32,150.0,2011,299.32,True
The Conjuring,Warner Bros,Horror,86.0,83.0,318.0,20.0,2013,298.0,True
The Wolverine,Fox,Other Genres,69.0,70.0,414.83,120.0,2013,294.83,True
Alvin and the Chipmunks,Fox,Animation,26.0,73.0,361.34,70.0,2007,291.34,False
The Blind Side,Warner Bros,Biography,65.0,90.0,309.2,29.0,2009,280.2,True
Dr. Seuss' The Lorax,Universal,Other Genres,54.0,64.0,348.84,70.0,2012,278.84,False
Oz The Great & Powerful,Buena Vista,Other Genres,59.0,57.0,493.31,215.0,2013,278.31,False
Fast and Furious,Universal,Action,28.0,76.0,363.1,85.0,2009,278.1,False
Star Trek Into Darkness,Paramount,Other Genres,87.0,90.0,467.37,190.0,2013,277.37,True
Now You See Me,Summit,Thriller,50.0,71.0,351.72,75.0,2013,276.72,False
The Proposal,Disney,Comedy,43.0,74.0,314.7,40.0,2009,274.7,False
